ID,max_intensity__abs_energy,max_intensity__absolute_maximum,max_intensity__absolute_sum_of_changes,"max_intensity__agg_autocorrelation__f_agg_""var""__maxlag_40",max_intensity__autocorrelation__lag_1,max_intensity__autocorrelation__lag_2,"max_intensity__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2","max_intensity__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4","max_intensity__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","max_intensity__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","max_intensity__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",max_intensity__cid_ce__normalize_False,max_intensity__cid_ce__normalize_True,"max_intensity__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",max_intensity__energy_ratio_by_chunks__num_segments_10__segment_focus_0,"max_intensity__fft_coefficient__attr_""abs""__coeff_0","max_intensity__fft_coefficient__attr_""abs""__coeff_1","max_intensity__fft_coefficient__attr_""angle""__coeff_1","max_intensity__fft_coefficient__attr_""imag""__coeff_1","max_intensity__fft_coefficient__attr_""real""__coeff_0","max_intensity__fft_coefficient__attr_""real""__coeff_1",max_intensity__friedrich_coefficients__coeff_0__m_3__r_30,max_intensity__friedrich_coefficients__coeff_1__m_3__r_30,max_intensity__friedrich_coefficients__coeff_3__m_3__r_30,max_intensity__index_mass_quantile__q_0.3,max_intensity__index_mass_quantile__q_0.8,max_intensity__lempel_ziv_complexity__bins_3,max_intensity__lempel_ziv_complexity__bins_5,"max_intensity__linear_trend__attr_""intercept""","max_intensity__linear_trend__attr_""pvalue""","max_intensity__linear_trend__attr_""rvalue""","max_intensity__linear_trend__attr_""stderr""",max_intensity__max_langevin_fixed_point__m_3__r_30,max_intensity__maximum,max_intensity__mean,max_intensity__mean_abs_change,max_intensity__mean_second_derivative_central,max_intensity__median,max_intensity__minimum,max_intensity__quantile__q_0.1,max_intensity__quantile__q_0.2,max_intensity__quantile__q_0.3,max_intensity__quantile__q_0.4,max_intensity__quantile__q_0.6,max_intensity__quantile__q_0.7,max_intensity__quantile__q_0.8,max_intensity__quantile__q_0.9,max_intensity__ratio_beyond_r_sigma__r_0.5,max_intensity__ratio_beyond_r_sigma__r_1,max_intensity__root_mean_square,max_intensity__skewness,max_intensity__sum_values,max_intensity__symmetry_looking__r_0.05,max_intensity__symmetry_looking__r_0.1,max_intensity__symmetry_looking__r_0.15000000000000002,max_intensity__symmetry_looking__r_0.2
CONTROL01_DCHA,0.36520693266766646,0.48927950307837265,0.47720556823184457,0.554561412441884,-0.9964592016098197,0.4929184032196392,0.2303910341352986,0.2303910341352986,0.23860278411592228,0.2303910341352986,0.2303910341352986,0.33763507349093247,2.9964571095977526,0.25959892786875527,0.1895257908678596,0.20368827268728412,0.32501091964836604,0.2700878913868366,0.1945529214541391,0.45413560948927645,0.364690450025714,0.26978254266891,0.19452795750974122,0.44857305726113533,0.3639708813612443,0.1835212679620167,0.9906329410032734,0.2390263313969869,-116.58862190150158,-0.21374765655082928,0.9906329410032734,-0.10698376708702562,-3.3985928879344907,-0.9420584142146623,0.3252103553821846,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.33842273031504816,0.962095798905573,-0.05950460814239912,0.1377573816387219,0.3996215304336119,0.48927950307837265,0.3302109803344245,0.23860278411592228,-0.23860278411592228,0.25888846894307405,0.2424649689818267,0.24574966897407619,0.24903436896632564,0.2523190689585751,0.2556037689508246,0.30496667577013375,0.35104488259719346,0.39712308942425323,0.44320129625131294,1.0,0.3333333333333333,0.34890635451730523,1.7044937649894374,0.9906329410032734,0.0,0.0,0.0,0.0
CONTROL01_DCHA_aug0_005,0.3714361857522919,0.4905800700847558,0.47031106428323655,0.545431195886404,-0.9923554253163072,0.4847108506326146,0.223239336838641,0.223239336838641,0.23515553214161827,0.223239336838641,0.223239336838641,0.33298684660901057,2.992345660497437,0.2625419831507456,0.19162810636817265,0.2083740651888666,0.32891999951032774,0.27306111790907084,0.1966756462147542,0.45962651087009304,0.36873501332762315,0.27261802173993355,0.1966394206553205,0.4515546067217757,0.3676908362935006,0.1924181606264766,1.001429145971031,0.23605955059752137,-114.98403858937895,-0.21397039252392458,1.001429145971031,-0.09970347311634326,-3.421063701088753,-0.9276868225004207,0.32472981396931694,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.34572591062665425,0.9442670954375438,-0.08743325845290727,0.135767109783393,0.40110069553546124,0.4905800700847558,0.333809715323677,0.23515553214161827,-0.23515553214161825,0.2673407332461148,0.24350834264016027,0.24827482076135118,0.25304129888254207,0.257807777003733,0.2625742551249239,0.311988600613843,0.35663646798157117,0.4012843353492994,0.4459322027170276,1.0,0.3333333333333333,0.35186938189821326,1.672657372374008,1.001429145971031,0.0,0.0,0.0,0.0
CONTROL01_DCHA_aug0_007,0.3666257842985105,0.4898580796252694,0.47671980811884296,0.5529479299389626,-0.9957364577357892,0.491472915471578,0.22935486384702847,0.22935486384702847,0.23835990405942148,0.22935486384702847,0.22935486384702847,0.3373322831050815,2.9957334237903637,0.2602032653687746,0.18996148151090664,0.20467548344767791,0.32582385614656295,0.27070314761408054,0.1949899891323892,0.45532862397641166,0.36553085508302186,0.2703683009017209,0.19496261356400327,0.4492287053700073,0.3647417730025376,0.18509861645614886,0.9928544307569653,0.2388696634378193,-116.25616234797793,-0.2142243257451133,0.9928544307569653,-0.10567239171112125,-3.3992429262244,-0.9395612928236532,0.3254314966315583,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3399565171313815,0.9584018038664213,-0.0652958058699893,0.13761715477272035,0.4000881064917025,0.4898580796252694,0.33095147691898846,0.23835990405942148,-0.23835990405942145,0.2605032157782409,0.2424931353534549,0.2460951514384121,0.24969716752336932,0.25329918360832654,0.25690119969328373,0.3063741885476466,0.3522451613170523,0.398116134086458,0.44398710685586373,1.0,0.3333333333333333,0.34958345894245363,1.6988788773336623,0.9928544307569653,0.0,0.0,0.0,0.0
CONTROL01_IZDA,0.26598539346311967,0.4088161259121005,0.373579338968309,0.5375999652910513,-0.9888080583492195,0.4776161166984388,0.17531635371581367,0.17531635371581367,0.1867896694841545,0.17531635371581367,0.17531635371581367,0.2646583367314158,2.9887871035079288,0.2236843642799921,0.16315330546858936,0.17832551696363594,0.28014185943346276,0.23249410608842608,0.167494371930983,0.3903685383257326,0.313895040492543,0.23206747811406048,0.1674594927374401,0.3825966360708002,0.3128896715366024,0.2049817206345116,0.8528690387679925,0.18784379561263093,-113.92720255240806,-0.1717007818588005,0.8528690387679925,-0.07618486108956601,-4.949761410237518,-1.070084930016718,0.2672371920883962,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.2957629953576717,0.9325244728045341,-0.10579197347048948,0.10784306595851784,0.336452870265834,0.4088161259121005,0.2842896795893308,0.1867896694841545,-0.18678966948415454,0.23349977219628681,0.21055314065960512,0.21514246696694145,0.2197317932742778,0.22432111958161413,0.2289104458889505,0.26856304293944955,0.3036263136826123,0.338689584425775,0.37375285516893775,1.0,0.3333333333333333,0.29776131014797724,1.645226115921734,0.8528690387679925,0.0,0.0,0.0,0.0
CONTROL02_DCHA,0.19521080289642517,0.3613225506817016,0.36480243626125547,0.5019704740010026,-0.9723324977649644,0.44466499552992855,-0.1646370578410105,-0.1646370578410105,0.18240121813062773,0.1646370578410105,0.1646370578410105,0.2591747278047459,2.972203725620063,0.18784315580472782,0.13718338695280552,0.13157677353133168,0.23321831101559112,0.19569026287505956,0.14120727478297226,0.3226878330403991,0.26384726653994794,0.19635081191543177,0.1412612783158114,0.33472108656531513,0.265403881527641,0.13304404154870886,0.7191652157838494,0.18497810829371802,-129.57482580763278,-0.14257987449464307,0.7191652157838494,-0.11784684949973975,-5.646770328264168,-1.299757947729374,0.2463941317617945,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.2219575783049992,0.893613046581858,0.16633551104630606,0.10530939238823357,0.2989828043408208,0.3613225506817016,0.23972173859461646,0.18240121813062773,-0.1824012181306277,0.19668549284069112,0.16115717226145662,0.16826283637730352,0.17536850049315042,0.18247416460899732,0.18957982872484422,0.2296129044088932,0.2625403159770953,0.29546772754529743,0.3283951391134995,0.6666666666666666,0.3333333333333333,0.25508874462065495,1.5189062401228033,0.7191652157838494,0.0,0.0,0.0,0.0
CONTROL02_IZDA,0.267253436047079,0.42169597136731246,0.42052212602391204,0.5612415717198217,-0.9994403853736129,0.4988807707472257,0.20738853475432056,0.20738853475432056,0.21026106301195602,0.20738853475432056,0.20738853475432056,0.29738179513046403,2.9994403331691193,0.22119174566943617,0.16153813734796643,0.1708383451113217,0.27666876253699174,0.23022952134010924,0.16586361230516236,0.38654801745524264,0.3108364722349353,0.2301227081976309,0.16585487974074264,0.38460219731975254,0.31058476202372887,0.17185065257511217,0.8445657880780254,0.21031992029926808,-118.64447455135432,-0.18457910443927542,0.8445657880780254,-0.10082173911952486,-4.506600011745382,-1.1119332153003543,0.28242478665821186,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.28439445761697724,0.9849386061261591,-0.023656175227350532,0.12139428133004966,0.34405209713514934,0.42169597136731246,0.2815219293593418,0.21026106301195602,-0.21026106301195602,0.2143074366129919,0.20856238009772102,0.2097113914007752,0.21086040270382936,0.21200941400688356,0.21315842530993773,0.255785143563856,0.2972628505147201,0.33874055746558424,0.38021826441644835,1.0,0.3333333333333333,0.29847023081433044,1.727690060401326,0.8445657880780253,0.0,0.0,0.0,0.0
CONTROL03_IZDA,0.5495795958451766,0.6068958356229119,0.6122469955227767,0.5507734783540834,-0.9947607629974458,0.48952152599489196,0.2932969217691149,0.2932969217691149,0.30612349776138836,0.2932969217691149,0.2932969217691149,0.43330385858737125,2.994756180056178,0.31668003989649285,0.2313312255760963,0.2504598874805212,0.3969623247312207,0.32961689018046325,0.23734060445608607,0.5566368117261837,0.4452169003958738,0.3291399420824486,0.2373016113144729,0.5479482253671745,0.44409294969373875,0.17894455964843717,1.2084405113459589,0.30692858947436524,-115.84915406670056,-0.2762188664095915,1.2084405113459589,-0.13382188489228397,-2.227436098964005,-0.783379563175031,0.4086041752087371,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.4156400797742598,0.9538794896300062,-0.07238257388732545,0.17674048383780738,0.4926271009898037,0.6068958356229119,0.4028135037819864,0.30612349776138836,-0.3061234977613884,0.313598913853797,0.2879457618692501,0.29307639226615945,0.29820702266306887,0.30333765305997823,0.30846828345688765,0.37225829820761996,0.43091768256144297,0.489577066915266,0.5482364512690889,1.0,0.3333333333333333,0.4280107459107293,1.691304250963266,1.208440511345959,0.0,0.0,0.0,0.0
CONTROL03_IZDA_aug1_003,0.5495792454068137,0.606895552312822,0.6122461455925071,0.5507796874725805,-0.9947635518204992,0.48952710364099844,0.29329994679984983,0.29329994679984983,0.30612307279625356,0.29329994679984983,0.29329994679984983,0.43330305389770796,2.99475897376116,0.31667995776461305,0.23133115709678045,0.2504575118371784,0.3969619095534634,0.32961682340383186,0.23734059899672755,0.5566355952530906,0.4452167430335905,0.32914000359172685,0.23730161634319616,0.5479493458846444,0.4440930946432558,0.1789408981852145,1.2084405113459589,0.30692773315420563,-115.85026088861986,-0.27621551059492283,1.2084405113459589,-0.1338268474035212,-2.227417604295091,-0.7833781284135506,0.408603610902094,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.41563662977839,0.9538917876513318,-0.07236330685852264,0.1767402384840724,0.49262755877612524,0.606895552312822,0.40281350378198627,0.30612307279625356,-0.30612307279625356,0.31359560551297216,0.2879493535201647,0.2930786039187262,0.2982078543172877,0.3033371047158492,0.3084663551144107,0.37225559487294213,0.4309155842329121,0.48957557359288206,0.548235562952852,1.0,0.3333333333333333,0.4280106094505967,1.6913258926352943,1.2084405113459589,0.0,0.0,0.0,0.0
CONTROL04_DCHA,0.5985592656108658,0.6300565154294124,0.625753279845898,0.5494858447014329,-0.9941820828180788,0.48836416563615803,0.2990580632375396,0.2990580632375396,0.312876639922949,0.2990580632375396,0.2990580632375396,0.44290573460068283,2.994176430491108,0.33139036011580575,0.24201430200046767,0.2623085031710961,0.415319452168323,0.3448463311873166,0.2483312183986221,0.5817168867655491,0.46574860745126934,0.3443324961723178,0.24828920954778688,0.5723563296720506,0.4645377309884136,0.1830394777058592,1.264416266442339,0.3137907758273119,-115.62550004990582,-0.2829263568776983,1.264416266442339,-0.1357104549333603,-2.068409848154832,-0.7444213197388484,0.4218337155048579,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.4352906654995225,0.9513944449989536,-0.0762752724145968,0.18063941228266026,0.5125862452049612,0.6300565154294124,0.4214720888141131,0.312876639922949,-0.31287663992294906,0.33099845219187285,0.30336129882105395,0.30888872949521773,0.3144161601693815,0.3199435908435453,0.32547102151770907,0.39081006483938074,0.45062167748688864,0.5104332901343966,0.5702449027819045,1.0,0.3333333333333333,0.44667634278481994,1.6868147056491452,1.2644162664423393,0.0,0.0,0.0,0.0
CONTROL04_IZDA,0.5599169451881404,0.6137548140924998,0.6239394079586364,0.5264765598036233,-0.9837246966353317,0.4674493932706633,0.2888021836720945,0.2888021836720945,0.3119697039793182,0.2888021836720945,0.2888021836720945,0.4424066685711893,2.9836803079103484,0.3192422297971384,0.2332479309419098,0.2593654206791599,0.40113835280434873,0.33225304280971985,0.2391029428090187,0.5646056538525615,0.4489916113472205,0.33139157325206864,0.23903251291403274,0.5489122216353685,0.4469615176782852,0.18858906293978883,1.2173250343188629,0.31453981972478506,-112.67053427620705,-0.29023734998594847,1.2173250343188629,-0.12123357152882347,-2.2386381382711362,-0.7834990102493479,0.41546933296491617,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.4289425317468447,0.9185614919578562,-0.1275746971960679,0.18011579257146723,0.4958868308153998,0.6137548140924998,0.40577501143962097,0.3119697039793182,-0.3119697039793182,0.3249526304204053,0.2786175898059578,0.2878845979288473,0.2971516060517368,0.3064186141746263,0.3156856222975158,0.38271306715482417,0.44047350388924306,0.498233940623662,0.5559943773580809,1.0,0.3333333333333333,0.43201733961657157,1.6060609056684576,1.2173250343188629,0.0,0.0,0.0,0.0
